ὁ,él; la; los; las
ἤ,o; que; en verdad
νεκρός,muerte; cuerpo muerto
ἐξανάστασις,resurrección
καταντάω,alcanzar; lograr
πῶς,¿cómo?; de alguna manera; en cierta forma
συμμορφίζω,ser conformado a
πάθημα,sufrimiento
ἀνάστασις,resurrección; levantarse
δύναμις,poder
κερδαίνω,obtener; ganar; evitar
σκύβαλον,basura; excremento
ζημιόω,castigar; sufrir pérdida
γνῶσις,conocimiento
μενοῦνγε,antes bien
ζῆλος,celos
Φαρισαῖος,fariseo
Βενιαμίν,Benjamín
φυλή,tribu; nación; raza
Ἰσραήλ,Israel
γένος,raza; nación; familia; linaje
ὀκταήμερος,al octavo día
ἄλλος,otro; otra; diferente
δοκέω,pensar; suponer
πεποίθησις,confianza
καίπερ,aunque
καυχάομαι,gloriarse; jactarse
λατρεύω,adorar; servir
κατατομή,mutilación
ἐργάτης,obrero
κακός,malo; perverso
κύων,perro; perra (ramera)
ἀσφαλής,seguro; cierto
ὀκνηρός,ocioso; perezoso; negligente
γράφω,escribir; anotar
ὑστέρημα,necesidad; deficiencia
ἀναπληρόω,completar; llenar
παραβολεύομαι,arriesgar; exponerse al peligro
ἐγγίζω,acercar; traer cerca
ἔντιμος,honorable; valioso
τοιοῦτος,de tal clase
προσδέχομαι,aceptar; esperar por; recibir
ἄλυπος,libre de ansiedad
σπουδαίως,diligentemente; solícitamente; apresuradamente
ἐλεέω,mostrar misericordia hacia; tener compasión  de
παραπλήσιος,acercarse; parecerse a
διότι,porque
ἀδημονέω,estar ansioso; angustiado
ἐπειδή,después de esto; cuando; por qué; ya que
λειτουργός,siervo; ministro
ἀπόστολος,apóstol; mensajero
συστρατιώτης,camarada; compañero de milicia
ἐξαυτῆς,inmediatamente
ἀφοράω,fijar la atención en
ἄν,que; quiera que
δουλεύω,"servir, ser esclavo"
δοκιμή,prueba; examen; evidencia
ζητέω,buscar; desear; tratar de obtener; procurar
γνησίως,genuinamente
ἰσόψυχος,del mismo ánimo
εὐψυχέω,alegrarse; tener valor
σπένδω,derramar; ofrecer en libación
κοπιάω,trabajo arduo; estar cansado
οὐδέ,y no; ni siquiera
τρέχω,correr; procurar; progresar
ἐπέχω,estar atento; observar
κόσμος,mundo; orden
φωστήρ,estrella; resplandor
φαίνω,aparecer; hacerse visible; hacer conocer; alumbrar
διαστρέφω,deformar; pervertir; desviarse
σκολιός,torcido; deshonesto; inescrupuloso
γενεά,raza; generación
μέσος,medio; en medio
ἄμωμος,irreprensible; sin mancha; sin defecto
ἀκέραιος,puro; inocente
διαλογισμός,pensamiento; consideración; razonamiento
γογγυσμός,murmurar; quejar
χωρίς,separadamente; sin
θέλω,desear; querer
κατεργάζομαι,lograr; alcanzar; producir
τρόμος,temblor
φόβος,temor; intimidación
ἀπουσία,ausencia
