μάρτυς	mártir; testigo
Λαοδίκεια	Laodicea
μέλας	negro
νότος	viento del sur
πέμπτος	quinto
πατέω	caminar; pisar; hollar
περιζώννυμι	ceñir; ceñirse
πνέω	soplar; exhalar
πτέρυξ	ala
πυρόω	quemar; encender
Σιών	Zion
σκορπίος	escorpión
Συμεών	Simón; Simeón
συντρίβω	destrozar; quebrar; aplastar
χάλαζα	granizo
ἀετός	águila; buitre
ἀποφέρω	llevar
ἁλληλουϊά	aleluya
ἐκδικέω	vengar; vindicar; ejecutar justicia; castigar
ἐξαλείφω	secar; obliterar
ἐρημόω	arruinar; asolar
ἥμισυς	mitad; medio
ἴασπις	jaspe
ᾄδω	cantar; alabar
αἰσχύνη	vergüenza; deshonor
βάρος	carga; peso
ζυγός	yugo; balanza
Θυάτειρα	Tiatira
κιβωτός	arca
κιθάρα	lira; arpa; cítara
κραυγή	llorar; gritar; clamar
μόσχος	becerro
πόνος	trabajo arduo; dolor
πικραίνω	amargar
πλάτος	anchura; amplitud
πλέω	navegar; zarpar
σημαίνω	señalar; indicar
σπήλαιον	cueva; escondite
φύλλον	hoja; follaje
χλωρός	verde; verde claro; amarillo verdoso
ψυχρός	frío
ἀνάπαυσις	descansar; reposar
ἄμμος	arena
ἐραυνάω	buscar; investigar
ὁμοίωμα	semejanza; imagen
ὄγδοος	octavo
ὅρασις	visión; vista; ojo
ὕψος	altura; altivez; orgullo
βιβλαρίδιον	librito; rollo pequeño
γλυκύς	dulce
διάδημα	corona; diadema
διπλοῦς	doble
δυσμή	occidente; oeste; poniente
ζεστός	caliente
κάμινος	horno; caldera
κύων	perro; perra (ramera)
καυματίζω	ser quemado
κεράννυμι	mezclar
κτίσμα	creación; creatura
κυκλόθεν	alrededor
μέλι	miel
μίγνυμι	mezclar
μεθύσκω	embriagarse; embriagar
μεθύω	embriagarse; estar ebrio
μεσουράνημα	cénit
παίω	herir; pegar
πορφυροῦς	púrpura
σάκκος	cilicio; arpillera
Σάρδεις	Sardis
σύρω	arrastrar
σείω	sacudir; agitar
σκοτίζω	oscurecer
σμύρνα	mirra; esmirna, Esmirna
στῆθος	pecho; seno
στῦλος	columna; pilar
χαλκός	bronce
ἀκρίς	langosta
ἄλφα	alfa
ἄργυρος	plata
ἐπιγράφω	escribir en; grabar; inscribir
ἔμφοβος	temor; terror
ὁδηγέω	guiar; dirigir
ὄρνεον	ave
ὑάλινος	de vidrio
ὑετός	lluvia
αἰχμαλωσία	cautividad
βάπτω	sumergirse
βαθύς	profundo
βασίλισσα	reina
Βενιαμίν	Benjamín
γόμος	carga; mercadería
δίστομος	doble filo
δειπνέω	comer; cenar
κέντρον	aguijón; punta
κτῆνος	animal; bestia doméstica; rebaños y manadas
μάννα	maná
μύλος	molino; piedra de molino
μεγιστάν	gran hombre; persona de alto rango
μολύνω	manchar; contaminar
μῆκος	longitud
πύρωσις	ardiente; encendido
πλύνω	lavar
πορφύρα	púrpura; tela color púrpura
πῆχυς	codo, antebrazo
σκοτόω	oscurecer; ser entenebrecido
συγκοινωνός	copartícipe; socio
συμβουλεύω	aconsejar; consultar
τεχνίτης	artesano
τηλικοῦτος	tan grande
τρυγάω	cosechar (uvas)
ψευδής	mentir; mentiroso; falso
ψῆφος	guijarro; voto
ἅρμα	carro; carruaje
ἕλκος	llaga, úlcera; herida
ὄφελον	deber; ojalá
Βαλαάμ	Balaam
γυμνότης	desnudez
δεικνύω	mostrar; señalar; explicar
δειλός	cobardía; timidez
Εὐφράτης	Éufrates
Ζαβουλών	Zabulón
θεραπεία	sanidad; tratamiento; siervos
καῦμα	calentar
κιθαρῳδός	arpista
κρύσταλλος	cristal; hielo
λίθινος	hecho de piedra
λιβανωτός	incienso
Μανασσῆς	Manasés
μαστός	pecho; seno; pezón
ναύτης	marino
Νεφθαλίμ	Neftalí
Νικολαΐτης	
Πέργαμος	Pérgamo
παράδεισος	paraíso
πρωϊνός	temprano en el día
πτωχεία	pobreza
πυρρός	rojo; rojo encendido
σάρδιον	cornalina
σταφυλή	uvas; racimo de uvas
στρηνιάω	vivir en deleite
συγκοινωνέω	compartir; asociarse con
τέχνη	arte; oficio
φάρμακος	hechicero; mago
Φιλαδέλφεια	Filadelfia
φοῖνιξ	palma, fenicio; fenice; rama de palmera, fenicio
χαλκολίβανον	bronce refinado
χοῖνιξ	litro
χρυσόω	adornar (con oro)
ἀδίκημα	mal; maltrato
ἀργυροῦς	plata, hecho de plata
ἀριθμέω	contar; numerar
ἄψινθος	amargura
ἑνδέκατος	onceavo
ἑξακόσιοι	seiscientos
ἶρις	arcoíris; iris (planta)
ὁσάκις	tantas veces como; tan seguido como
ὄψις	rostro; apariencia
ὕαλος	cristal
ὠδίνω	sufrir dolores de parto
αὐλητής	flautista
βδελύσσομαι	aborrecer; detestar
βορρᾶς	norte
θαῦμα	maravilla; asombro
κατοικητήριον	morada; habitación
κιθαρίζω	tocar la lira; tocar la cítara
κυβερνήτης	capitán; piloto
κυριακός	maestro; perteneciente al Señor; día del Señor
λίβανος	incienso
λίνον	vestidura de lino; pábilo; mecha
λευκαίνω	blanquear; emblanquecer
Μιχαήλ	Miguel
ξύλινος	de madera
πνευματικῶς	espiritual; del Espíritu
προφῆτις	profeta; profetisa
σιγή	silencio
ταλαίπωρος	miserable; desdichado
φαρμακεία	hechicería
φωστήρ	estrella; resplandor
χαλινός	brida; freno
χιών	nieve
χοῦς	polvo
ψηφίζω	contar; calcular; resolver
ἀποχωρίζω	separar
Ἀσήρ	Aser
ἀσχημοσύνη	acto vergonzoso; indecente
ἐκκεντέω	traspasar
ἐλεεινός	miserable; digno de lástima
ἑλίσσω	enrollar
ἔριον	lana
ῥυπαρός	sucio; impuro
βάτραχος	rana
βήρυλλος	berilio
βότρυς	racimo de uvas
Βαλάκ	Balac
Γάδ	Gad
Γώγ	Gog
διαυγής	transparente; diáfano
διπλόω	doblar; pagar el doble
δισμυριάς	veinte mil; innumerable
δωδέκατος	doceavo; duodécimo
ζηλεύω	tener celo por algo
θύϊνος	cidro; hecho de madera de cedro
θειώδης	sulfuroso
κατάθεμα	maldición
κατήγωρ	acusador
κατασφραγίζω	sellar
κεραμικός	hecho de barro; alfarería
κιννάμωμον	canela
κλέμμα	hurto; objeto robado
κολλούριον	colirio; ungüento para los ojos
κριθή	cebada
κρυσταλλίζω	brillar como el cristal
κυκλεύω	rodear
λιπαρός	lujoso
μάρμαρος	mármol
μύλινος	de molino
Μαγώγ	Magog
μασάομαι	morder; masticar
μηρός	muslo
μουσικός	musical; músico; talento musical
μυκάομαι	rugido
νεφρός	mente; riñones; deseos
πάρδαλις	leopardo
Πάτμος	Patmos
πύρινος	fuego; fogoso
πελεκίζω	degollar
πλήσσω	herir; golpear
ποδήρης	túnica; bata
ποταμοφόρητος	arrastrado por un río
σάπφιρος	zafiro
σίδηρος	hierro; espada
σαλπιστής	trompetero
σαρδόνυξ	sardónice
σεμίδαλις	harina fina de trigo
σιρικός	seda
σμάραγδος	esmeralda
σμαράγδινος	de esmeralda
στρῆνος	lujo; sensualidad
τόξον	arco
ταλαντιαῖος	que pesa un talento
τετράγωνος	cuadro; rectángulo
τιμιότης	riqueza
τοπάζιον	topacio
τρίχινος	hecho de cabello
φάρμακον	poción mágica; medicina; encantamiento
χαλκηδών	ágata; calcedonia
χαλκοῦς	cobre; bronce; hecho de bronce/cobre
χλιαρός	tibio
χρυσόλιθος	crisólito
χρυσόπρασος	crisopraso
Ἀβαδδών	Abadón
ἀκμάζω	maduro
ἀμέθυστος	amatista
Ἀντιπᾶς	Antipas
Ἀπολλύων	Apolión
Ἁρμαγεδών	Armagedón
ἄκρατος	puro; no adulterado
ἄμωμον	sin mancha
ἄρκος	oso
ἐγχρίω	frotar; untar; ungir
ἐλεφάντινος	de marfil
ἐμέω	vomitar
ἐνδώμησις	construcción
Ἑλληνικός	griego
ἡμιώριον	media hora
Ἰεζάβελ	Jezabel
Ἰσσαχάρ	Isacar
ἱππικός	jinete
ὀπώρα	fruta
ὄλυνθος	hijo inmaduro
ὅρμημα	furia; arranque de furia
ὑάκινθος	jacinto
ὑακίνθινος	azul; jacinto
ῥέδη	carro
Ῥουβήν	Rubén
ῥυπαίνω Ser contaminado
